batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
32,2000,relu,0.15,sgd,-0.2537176600221092
8,2000,sigmoid,0.15,adamax,-0.2538109519440421
16,2000,softplus,0.25,adam,-0.2547365446753406
16,2000,sigmoid,0.2,adam,-0.2547925090223283
16,2000,softplus,0.15,adamax,-0.25507224569442044
4,2000,softplus,0.1,adamax,-0.25531242554399225
8,2000,sigmoid,0.25,adamax,-0.2558071035161221
16,2000,softplus,0.2,adamax,-0.25607229933593134
8,2000,relu,0.1,rmsprop,-0.2561526808853719
8,2000,sigmoid,0.2,adamax,-0.25626973394006425
2,2000,sigmoid,0.05,sgd,-0.2569944579232499
4,2000,relu,0.05,rmsprop,-0.2570098461407427
2,2000,selu,0.05,adamax,-0.25718957110349316
4,2000,softplus,0.15,adamax,-0.257325625641087
16,2000,softplus,0.1,rmsprop,-0.25743263098166347
2,2000,elu,0.1,adam,-0.2575524152939486
32,2000,relu,0.25,sgd,-0.2577914624812466
4,2000,relu,0.25,adam,-0.2578829884105026
2,2000,softplus,0.15,sgd,-0.25792077595878127
32,2000,softplus,0.15,adamax,-0.25801328020352365
16,2000,sigmoid,0.15,adamax,-0.25805833745628104
16,2000,sigmoid,0.25,rmsprop,-0.2580896714833064
32,2000,relu,0.1,sgd,-0.258199084886422
32,2000,sigmoid,0.1,rmsprop,-0.25832835864406195
16,2000,relu,0.15,adamax,-0.2584242965683042
16,2000,softplus,0.1,adamax,-0.2586610697820466
32,2000,sigmoid,0.25,rmsprop,-0.2587265836078271
16,2000,sigmoid,0.2,adamax,-0.2588072054021395
2,2000,softplus,0.1,sgd,-0.2589824416725405
32,2000,softplus,0.05,sgd,-0.2590639269790601
32,2000,sigmoid,0.15,adam,-0.2591165676063437
8,2000,relu,0.25,adam,-0.25914919031519973
8,2000,softplus,0.25,adamax,-0.2595539598120169
2,2000,softplus,0.25,rmsprop,-0.2603182127252508
32,2000,sigmoid,0.1,adam,-0.26088061568558824
32,2000,relu,0.15,adamax,-0.2609690687105807
32,2000,softplus,0.15,rmsprop,-0.2609945250503597
8,2000,softplus,0.15,adamax,-0.2614428801824825
2,2000,relu,0.15,adam,-0.2615140787133555
32,2000,sigmoid,0.15,adamax,-0.26203599685556095
4,2000,softplus,0.1,sgd,-0.2628199678663693
16,2000,relu,0.1,adamax,-0.26295583130598155
2,2000,sigmoid,0.2,sgd,-0.2631722906239054
32,2000,softplus,0.1,adam,-0.263388483961226
32,2000,softplus,0.2,adamax,-0.2635594871761411
8,2000,softplus,0.2,adamax,-0.26356269862098003
2,2000,tanh,0.25,adam,-0.263591576473201
32,2000,softplus,0.2,rmsprop,-0.26366168996286676
8,2000,softplus,0.05,sgd,-0.26380302354062285
4,2000,softplus,0.05,sgd,-0.26383386862030933
32,2000,softplus,0.15,adam,-0.2639624610177838
4,2000,sigmoid,0.05,sgd,-0.26429294886918303
16,2000,relu,0.2,adamax,-0.26458647788142464
32,2000,sigmoid,0.2,rmsprop,-0.26463849196827305
32,2000,sigmoid,0.05,sgd,-0.2649914362101079
